"","longitude","latitude"
"111121",126.9747,37.5643
"111122",126.9704,37.5491
"111123",127.005,37.572
"111124",126.9981,37.5686
"111125",126.9965,37.5709
"111131",127.0048,37.54
"111141",127.0925,37.5472
"111142",127.0419,37.5432
"111143",127.042,37.5387
"111151",127.094,37.5849
"111152",127.0289,37.5758
"111161",127.0273,37.6067
"111162",127.0049,37.6067
"111171",127.029,37.6542
"111181",126.9348,37.6098
"111191",126.9378,37.5767
"111201",126.9456,37.5498
"111202",126.9377,37.5545
"111212",126.8351,37.5447
"111213",126.8247,37.5602
"111221",126.8897,37.4985
"111231",126.8974,37.525
"111241",126.9715,37.4809
"111242",126.9803,37.4854
"111251",126.9271,37.4874
"111261",127.0481,37.5176
"111262",126.9945,37.5046
"111263",127.0203,37.516
"111264",127.0357,37.4818
"111273",127.1165,37.5218
"111274",127.1368,37.545
"111275",127.1393,37.5341
"111281",126.9083,37.4524
"111291",127.0288,37.6379
"111301",126.8587,37.5234
"111311",127.0679,37.6574
"131111",127.0105,37.2838
"131112",127.0292,37.2634
"131113",127.0295,37.2855
"131114",127.0563,37.247
"131115",126.9753,37.2928
"131116",127.0307,37.2765
"131117",126.9766,37.2526
"131120",127.1026,37.3825
"131121",127.1554,37.4494
"131124",127.119,37.3826
"131125",127.1291,37.4332
"131126",127.1312,37.4572
"131128",127.0807,37.3905
"131129",127.1645,37.4329
"131131",127.0408,37.7356
"131132",127.0477,37.7463
"131141",126.9306,37.3901
"131142",126.958,37.3941
"131144",126.9526,37.3813
"131145",126.9176,37.4051
"131161",126.8698,37.4763
"131163",126.8849,37.4522
"131191",126.8304,37.3221
"131192",126.8122,37.3346
"131193",126.8723,37.2963
"131194",126.8019,37.3316
"131195",126.8611,37.332
"131196",126.5853,37.2437
"131197",126.8335,37.3049
"131198",126.8281,37.3167
"131201",126.9943,37.4239
"131202",127.0023,37.4491
"131211",127.1297,37.5945
"131212",127.1381,37.6186
"131222",126.9504,37.3194
"131223",126.976,37.3477
"131231",126.7401,37.3468
"131232",126.7241,37.3372
"131233",126.7884,37.4431
"131241",127.2162,37.6356
"131242",127.2047,37.6987
"131341",127.1128,36.9923
"131342",126.9314,36.9859
"131343",126.8455,36.9746
"131371",126.7739,37.7563
"131372",126.7564,37.7232
"131381",126.8419,37.6249
"131382",126.8134,37.6855
"131383",126.7779,37.652
"131384",126.8867,37.6664
"131392",127.2579,37.4112
"131411",127.2014,37.2345
"131412",127.0951,37.3279
"131413",127.1151,37.2802
"131414",127.1137,37.2753
"131442",127.4409,37.2835
"131453",127.1592,37.8535
"131454",127.3173,37.9612
"131471",126.7168,37.6193
"131472",126.7628,37.6067
"131473",126.5973,37.6919
"131501",126.9452,37.3537
"131502",126.9336,37.3617
"131531",127.0771,37.1592
"131541",127.2146,37.5391
"131551",126.824,37.2115
"131552",126.9202,37.1324
"131553",127.0723,37.1969
"131561",126.9837,37.8246
"131571",127.0613,37.9176
"131581",127.2799,37.0076
"131591",127.6289,37.2987
"131601",127.0748,38.0964
"131611",127.5098,37.8312
"131621",127.5962,37.4872
"132112",127.7205,37.8756
"132113",127.7495,37.8571
"221112",129.0305,35.0999
"221131",129.0463,35.1267
"221141",129.0799,35.0598
"221152",129.064,35.1531
"221162",129.0778,35.2067
"221163",129.1043,35.2049
"221172",129.0877,35.1303
"221181",128.9842,35.1462
"221182",129.0197,35.2161
"221191",129.0895,35.2755
"221192",129.1742,35.1706
"221202",128.9669,35.083
"221211",128.9552,35.21
"221212",128.855,35.0943
"221221",129.0783,35.1847
"221231",129.2158,35.2387
"221233",129.1802,35.3256
"221241",129.0455,35.1294
"221251",129.0927,35.2298
"221271",129.1078,35.1527
"221281",129.0172,35.1145
"238111",128.5739,35.2181
"238112",128.6025,35.2176
"238120",129.4184,35.5028
"238121",129.32,35.5541
"238122",129.339,35.4973
"238123",129.3593,35.5164
"238124",129.3258,35.5261
"238125",129.3318,35.5444
"238127",129.3081,35.5347
"238128",129.3145,35.4348
"238129",129.2608,35.5593
"238130",129.3711,35.5595
"238131",128.0781,35.1983
"238132",128.0837,35.1921
"238133",128.1225,35.1809
"238141",128.644,35.2403
"238142",128.6575,35.2115
"238143",128.6833,35.207
"238144",128.684,35.2363
"238145",128.6647,35.2342
"238146",128.6983,35.2217
"238151",128.6895,35.155
"238161",127.7514,35.0677
"238181",128.8834,35.2369
"238182",128.9118,35.2443
"238183",128.8072,35.2024
"238201",128.6909,34.8648
"238211",128.0912,35.0828
"238361",129.041,35.3458
"238362",129.172,35.4144
"238371",129.3376,35.4381
"238373",129.3059,35.4931
"238374",129.3552,35.6256
"238375",129.1138,35.5583
"238376",129.3195,35.5679
"238401",128.7542,35.4937
"238411",128.4324,34.8572
"324115",126.9233,35.1458
"324121",126.8885,35.1549
"324123",126.8533,35.1516
"324133",126.9322,35.1739
"324134",126.8569,35.1761
"324135",126.8603,35.2293
"324141",126.7988,35.1407
"324142",126.8078,35.2044
"324155",126.8933,35.1319
"335115",127.1406,35.8235
"336111",126.3916,34.806
"336112",126.4346,34.8043
"336121",127.7279,34.747
"336124",127.7246,34.8502
"336127",127.6524,34.7774
"336128",127.7468,34.7539
"336131",127.4891,34.9476
"336132",127.5186,34.9471
"336134",127.573,34.8935
"336141",126.7904,35.0217
"336151",126.9882,35.321
"336161",126.7854,35.3032
"336354",127.7196,35.02
"336355",127.5823,34.9808
"336441",126.4392,34.7668
"339111",126.5324,33.5001
"339112",126.5001,33.4886
"339121",126.5671,33.2614
"339122",126.9101,33.4602
"422114",128.5841,35.8743
"422115",128.6316,35.8305
"422121",128.6953,35.8716
"422132",128.5453,35.8696
"422133",128.5625,35.8803
"422141",128.5711,35.8455
"422153",128.5629,35.8943
"422154",128.6331,35.8898
"422155",128.5507,35.923
"422161",128.64,35.8653
"422171",128.4887,35.8379
"422201",128.4423,35.7002
"422202",128.5115,35.8512
"437112",129.3681,35.9918
"437113",129.364,36.0318
"437114",129.3658,36.0188
"437131",128.0884,36.1446
"437141",128.7281,36.5643
"437152",128.3258,36.1308
"437153",128.3386,36.1108
"437154",128.4394,36.1372
"437171",128.7433,35.825
"437181",128.1578,36.4289
"437191",128.4185,35.9907
"525111",127.4172,36.3728
"525112",127.4047,36.4469
"525121",127.4378,36.3161
"525141",127.3739,36.3724
"525142",127.3185,36.3682
"525151",127.4183,36.3239
"525161",127.4372,36.3444
"525171",127.3667,36.3045
"525172",127.3835,36.3544
"525173",127.3542,36.3511
"533112",127.4368,36.6447
"533113",127.4749,36.6661
"533114",127.4923,36.6358
"533115",127.5013,36.6088
"533116",127.447,36.6344
"534111",127.1521,36.8143
"534112",127.1106,36.8251
"534114",127.1323,36.8393
"534342",127.1192,36.447
"534411",126.9113,36.2755
"534421",126.3683,36.9917
"534422",126.4561,36.7799
"534433",126.7164,36.9765
"534441",127.0145,36.7829
"534442",127.0539,36.7738
"534451",127.0871,36.1994
"534462",126.2805,36.8697
"534463",126.3015,36.7467
"534471",126.8321,36.6871
"534481",126.5897,36.3531
"534491",126.6551,36.5977
"534501",127.4907,36.1072
"534502",126.8049,36.4552
"541111",127.2921,36.5925
"541112",127.2472,36.5119
"632121",127.9475,37.3528
"632122",127.9479,37.337
"632132",128.903,37.76
"632151",129.1145,37.525
"632161",129.1684,37.4426
"632171",128.389,37.3607
"633122",127.9262,36.9646
"633123",127.9192,36.9821
"633131",128.2207,37.1451
"633211",127.422,36.7091
"633311",128.2957,37.0334
"633411",127.4414,36.8551
"634111",127.5712,36.3064
"735111",127.1218,35.799
"735114",127.087,35.8515
